"A375-MDSC1"	"A375-MDSC2"	"A375-MDSC3"	"MDSC+4-IPP1"	"MDSC+4-IPP2"	"MDSC+4-IPP3"	"Cultured Monocytes1"	"Cultured Monocytes2"	"Cultured Monocytes3"
"ABRA"	2.74891	2.48283	2.66235	2.9551	2.78345	2.74891	2.74891	2.903	2.59656
"ABT1"	8.449415	8.522315	8.444555	7.96999	7.66367	7.995725	7.97871	7.984995	7.871145
"ABTB1"	10.118235	10.14948	10.125425	9.974585	9.89157	9.940075	9.8385975	9.8037875	9.7994525
"ABTB2"	8.106	8.06638	8.08952	5.10679	5.56221	5.11692	5.00078	5.16301	5.16681
"ACAA1"	4.12353666666667	4.15168333333333	4.19032666666667	3.83061	3.84722	3.58251333333333	4.25900666666667	4.19028	4.03729
"ACAA2"	6.56562	6.56562	6.44998	6.83098	6.58471	6.89983	6.56562	6.45342	6.46531
"ACACA"	7.28181	7.3585	7.290235	6.817565	6.955415	7.17402	5.818485	5.80463	5.810415
"ACACB"	7.204725	7.252505	7.265835	5.499275	5.34046	5.844345	5.756195	5.72125	5.617975
"ACAD10"	5.475665	5.50779	5.51747	5.9131	5.59869	6.01615	5.703865	5.77258	5.811715
"ACAD8"	6.37579	6.24691	6.40815	7.6623	7.52103	7.82124	6.46108	6.48258	6.54583
"ACAD9"	6.396865	6.47805	6.44633	6.11039	6.286845	6.33279	6.37379	6.361205	6.33808
"ACADL"	3.87462	3.63086	3.86588	2.99818	2.62194	2.48178	3.90606	3.82144	3.60207
"ACADM"	3.17975	3.33317	3.465	3.84177	3.60694	3.617	4.77839	5.18244	4.8539
"ACADS"	5.79585	5.6974	5.75683666666667	5.76779666666667	5.60875333333333	5.43043333333333	5.78878666666667	5.63629666666667	5.64230666666667
"ACADSB"	5.67824	5.869385	6.224255	5.68235	5.5024	5.6328	4.49025	4.509495	4.30577
"ACADVL"	6.04635285714286	5.90240857142857	5.88575	5.29381857142857	4.97883428571429	5.04887857142857	5.38997285714286	5.43700428571429	5.32457285714286
"ACAN"	5.12252333333333	5.12858	5.07946666666667	4.18983333333333	3.99875666666667	4.00467	5.83963666666667	5.88538333333333	5.81188666666667
"ACAT1"	7.41540666666667	7.02083333333333	6.88122333333333	7.14982333333333	6.98313333333333	7.34591333333333	8.14988	8.19366	7.93944
"ACAT2"	3.668705	3.557345	3.579315	4.216365	3.97329	4.03404	3.708045	3.81877	3.645955
"ACBD3"	6.24947	6.25058	6.4054	6.33213	5.55759	6.25381	5.81589	5.41291	5.93094
"ACBD4"	6.37406	6.481825	6.488175	5.966985	6.18611	6.570125	6.995705	6.924475	6.960475
"ACBD5"	7.55657666666667	7.64378333333333	7.59324666666667	6.56997	6.78437333333333	6.61274	8.59002666666667	8.64531666666667	8.69563
"ACBD6"	6.44123	6.43701	6.56694	5.455255	4.790355	5.085455	4.428265	4.37355	3.97694
"ACCN1"	8.35681	8.35681	8.33505	8.35681	8.35681	7.70543	8.60695	8.55789	8.46893
"ACCN2"	3.72105	4.11612	3.67091	5.23159	3.69299	4.46473	4.33927	4.10849	4.37739
"ACCN3"	7.92032333333333	8.12930333333333	8.09681333333333	7.43185	7.56205333333333	7.14206666666667	7.81182333333333	7.70916666666667	7.76619333333333
"ACCN4"	7.36522666666667	7.59663666666667	7.58085333333333	5.29911	5.76	6.22783333333333	3.88487333333333	4.00063333333333	3.76117666666667
"ACCN5"	5.15165	5.13678	5.07898	5.82154	5.30118	5.51621	5.14453	4.95418	5.12488
"ACD"	3.08333	3.05432666666667	3.02956333333333	3.34839666666667	3.13695333333333	3.26919	3.12152666666667	3.17070666666667	3.16845
"ACE"	9.9633	10.0656	10.010415	9.78593	9.650295	9.79511	9.682675	9.71759	9.682995
"ACE2"	4.80199	5.03331	4.94801	5.46194	5.91895	4.96837	4.93654	5.03331	5.14633
"ACHE"	3.51214	3.626	3.26517	3.58668	3.52026	3.78466	3.58668	3.68345	3.59909
"ACIN1"	6.50276	6.47528	6.637225	6.62556	6.50351	6.296125	6.15395	5.79555	5.788085
"ACLY"	9.457675	9.473395	9.51573	8.10063	8.09306	8.09398	9.217225	9.11956	9.13531
"ACMSD"	7.893645	7.868675	7.711715	7.981505	7.866805	8.19684	7.451515	7.439565	7.60491
"ACN9"	9.34883875	9.47708625	9.377125	9.143475	9.15161	9.00170375	9.5617525	9.492635	9.465755
"ACO1"	5.40971333333333	5.47436666666667	5.44526666666667	6.03914333333333	6.36194	6.54880333333333	5.57895666666667	5.62113666666667	5.73115333333333
"ACO2"	10.1945	10.2276	10.2294	8.72634	8.71285	8.55736	3.71411	2.93708	3.45402
"ACOT11"	2.83827	3.40312	2.96697	2.64497	3.11432	3.27195	3.17838	3.17838	3.17838
"ACOT12"	4.62903	4.71824	4.61954	3.92913	3.83323	3.86389	4.28589	4.57082	4.42051
"ACOT4"	8.313315	8.21173	8.241545	9.028365	9.00154	9.00459	10.9783	10.9632	11.0518
"ACOT6"	6.73341	6.69683	6.879	5.69282	4.98472	5.46721	6.14592	6.28078	6.36421
"ACOT7"	7.166822	7.222226	7.269274	6.685698	6.820006	6.96628	6.47917	6.423298	6.402392
"ACOT8"	5.42919	5.42919	5.39137	5.9799	5.42591	5.46174	5.42919	5.42919	5.65431
"ACOT9"	5.6619675	5.6789775	5.8947525	5.882875	5.35789	5.4417075	5.3484275	5.366875	5.4602625
"ACOX1"	8.66197	8.65166	8.67079	7.85439	7.65474	7.88893	7.43839	7.44278	7.45769
"ACOX2"	8.98777	8.984965	9.023295	8.507755	8.24962	8.4017	9.61398	9.58603	9.544705
"ACOX3"	3.328314	3.359604	3.531916	3.377584	3.3841	3.66678	3.321682	3.338966	3.392078
"ACOXL"	9.05924	9.05901	9.091105	9.04868	8.97523	9.08524	8.770045	8.817755	8.778235
"ACP1"	6.5558325	6.50233875	6.4689775	6.53000625	6.30014875	6.577055	6.53748375	6.5000825	6.48718375
"ACP2"	5.20873666666667	5.23824	5.36410666666667	5.39512	5.21819	5.05786666666667	4.54240666666667	4.42096	4.41608666666667
"ACP5"	5.93672	6.09956	6.41	5.20047	4.71194	5.71962	4.15415	3.85044	4.16752
"ACP6"	3.27649	3.38779	3.37575	3.82088	4.039275	3.94819	3.511365	3.68055	3.507085
"ACPL2"	5.538062	5.478538	5.533266	6.569506	6.608116	6.58811	6.390076	6.38153	6.246962
"ACPP"	2.96479	2.96479	2.92631	3.37224	3.66367	3.78589	2.74005	2.9551	2.96479
"ACPT"	6.75698	6.75282	6.79894	7.01143	6.73382	6.28996	6.65884	6.75987	6.75282
"ACR"	6.1295	6.14905333333333	6.17369	6.23662666666667	6.53797	6.24439333333333	5.20152	5.22045	5.41102666666667
"ACRBP"	2.62462666666667	2.56744333333333	2.42989	2.89061	2.69405333333333	2.59254333333333	2.53205	2.72783333333333	2.70841333333333
"ACRC"	7.31502333333333	7.30672	7.36317	7.16099	6.93709333333333	6.90616333333333	8.52895666666667	8.54034	8.5619
"ACRV1"	2.49583	2.5789	2.48865	2.52535	2.42796	2.77169	2.48865	2.42618	2.26861
"ACSBG1"	6.61152	6.60377	6.71373	6.41589	6.39907	6.25813	5.16	5.09471	5.09612
"ACSBG2"	9.25448	9.40404	9.3867	7.21409	7.47754	7.78368	8.87899	8.66055	8.87943
"ACSF3"	2.94306	2.71202	3.09134	3.23644	4.21646	3.14794	3.09134	3.17036	3.34896
"ACSL1"	4.17839	4.24363	4.12181	4.13959	4.01871	4.24363	4.92619	4.50789	4.47339
"ACSL3"	5.68108666666667	5.80192333333333	5.89856666666667	5.52024333333333	5.50327333333333	5.43351333333333	5.18125	5.08680666666667	5.17872333333333
"ACSL4"	6.00478	6.2848	6.14123	5.85638	5.63982	6.053	5.76845	5.52418	5.6417
"ACSL5"	5.69395	5.55826	5.65471	5.01569	5.66047	5.87525	5.41324	5.25752	5.38024
"ACSL6"	3.20570333333333	3.37917	3.43907666666667	3.00502666666667	3.48148666666667	3.29131333333333	3.04047666666667	2.96739333333333	2.82550333333333
"ACSM1"	8.63872666666667	8.71884	8.72171333333333	8.43931666666667	8.45455	8.42055	6.03760666666667	5.84295	5.91310666666667
"ACSM3"	3.99380333333333	3.82411666666667	3.87589	4.16377333333333	4.15307666666667	4.11761666666667	5.14772	4.42511666666667	5.19371666666667
"ACSM5"	9.3322	9.24595	9.27628	8.53717	8.53717	8.53717	6.03203	6.00235	5.88194
"ACSS1"	4.59221333333333	4.54469	4.64907833333333	4.96133	4.75257166666667	4.51498333333333	4.25542833333333	4.31461666666667	4.22060833333333
"ACSS2"	11.88415	11.86315	11.80875	9.320115	9.48844	9.43035	11.9551	12.18335	11.8065
"ACSS3"	4.557295	4.75214	4.78845	5.025335	6.15426	4.99771	4.934305	4.983345	5.014015
"ACTA1"	3.36752	3.36752	3.06485	3.85617	3.45701	3.10171	3.36752	3.36067	3.49894
"ACTA2"	3.19014333333333	3.07065	3.2755	3.44727	3.46554666666667	3.29187666666667	4.89852666666667	4.47201	4.90025666666667
"ACTB"	5.27516666666667	5.24853333333333	5.36608333333333	5.78911333333333	5.87859666666667	5.71790333333333	5.23639333333333	5.43349	5.38621666666667
"ACTC1"	7.58756	7.62326	7.68221	5.47477	5.51593	6.58319	8.87609	8.45299	8.72682
"ACTG1"	12.3773	12.34695	12.2483	12.0182	11.93985	11.9659	11.4677	11.47665	11.354
"ACTG2"	7.64177166666667	7.73802833333333	7.66758166666667	7.367655	7.34705	7.14475666666667	7.27711666666667	7.298415	7.17852333333333
"ACTL6A"	3.98439	3.92607666666667	3.91355666666667	4.22756	4.58108666666667	4.33501666666667	4.05628	4.08259	4.14213666666667
"ACTL6B"	2.6738	2.4048	2.76509	2.80106	2.99463	3.45759	2.70602	3.06094	2.82394
"ACTL7A"	5.54452	5.53672	5.52244	6.01309	5.88359	6.35859	5.60233	5.79313	5.7323
"ACTL7B"	7.62936	7.6143	7.61449	8.3468	8.21117	8.60661	7.71802	7.7656	7.56023
"ACTL8"	3.24985	3.45402	3.35016	3.46205	3.63368	3.76899	3.45402	3.33463	3.57992
"ACTN1"	6.698485	6.630285	6.574175	6.82738	6.899845	6.571845	8.569845	8.577085	8.39572
"ACTN2"	8.63164	8.75309	8.73145	8.36533	8.33357	8.38524	8.49252	8.42061	8.38065
"ACTN3"	4.56619	4.81085	4.36004	5.82953	5.30313	4.72707	4.72707	4.80461	4.47066
"ACTN4"	8.32418	8.31308	8.30194	7.67786	8.1966	7.75605	10.2722	10.1701	10.1881
"ACTR10"	5.591525	5.740185	5.6384	5.869855	5.466625	5.480145	6.40473	6.464505	6.3849
"ACTR1A"	2.685745	2.8096	2.765615	3.10012	3.07732	2.669935	2.99322	2.98144	2.871385
"ACTR1B"	3.67318	3.56677	3.69724	3.66531	3.47866	4.45568	3.63055	3.80279	3.8194
"ACTR2"	9.2193	9.28248	9.26915	8.46102	8.39705	8.45098	10.1009	9.99198	10.0066
"ACTR3"	2.81642	2.98742	2.90191	3.49598	2.91732	3.22004	2.88653	3.02828	2.98742
"ACTR5"	3.16948	3.20639	3.23881	3.80427	3.89683	4.28424	3.53844	3.626	3.48062
"ACTR6"	9.392452	9.303478	9.333988	9.146076	9.136114	9.266652	9.505638	9.533326	9.40152
"ACTR8"	3.04391	3.19543	2.94234	3.18727	3.70359	2.98678	3.00662	3.22696	3.04391
"ACVR1"	3.36478	3.33522	3.01627	3.50649	3.92879	3.53146	3.27031	3.11947	3.55771
"ACVR1B"	3.34474	3.272255	3.240095	3.46684	4.05626	3.61475	3.42715	3.487275	3.490395
"ACVR1C"	3.391845	3.305325	3.181545	3.69194	3.692225	3.51921	3.51925	3.48705	3.75138
"ACVR2A"	7.5248	7.53186333333333	7.42816666666667	7.07113333333333	7.41386666666667	7.29877	6.98517666666667	6.98464333333333	7.00938333333333
"ACVR2B"	10.7513916666667	10.7089483333333	10.7174183333333	10.1848733333333	10.26967	10.2924016666667	10.3091883333333	10.2551283333333	10.2632816666667
"ACVRL1"	2.946238	3.066498	3.011822	3.296782	3.206868	3.355428	2.841016	2.909586	2.947316
"ACY1"	3.95085	4.35227666666667	4.17316333333333	4.00103666666667	4.08552333333333	4.22088333333333	5.46630666666667	5.29075333333333	5.23393333333333
"ACY3"	5.54874	5.48921	5.45613	6.28437	6.58138	6.06885	5.56318	5.62516	5.6623
"ACYP1"	8.455815	8.4941475	8.48913	7.2812675	7.1320675	7.270725	8.608925	8.5352425	8.5727725
"ACYP2"	2.74891	2.66577	2.59149	3.19436	2.36986	2.65227	3.01782	2.9794	2.62965
"ADA"	3.19698	2.96479	3.64747	2.92819	3.73319	3.71445	4.99362	5.32687	5.2053
"ADAD1"	4.379145	4.400585	4.34027	4.248325	4.70235	4.2896	4.49901	4.523115	4.775185
"ADAD2"	4.51237	4.42957666666667	4.34516	5.41675333333333	5.21772	5.40418	4.64807666666667	4.59783	4.68034
"ADAL"	4.75458	4.998945	4.633135	5.34287	5.22792	5.182	5.136035	5.077895	5.06406
"ADAM10"	5.74983285714286	5.86936571428571	5.76811714285714	6.30919142857143	6.33008857142857	6.40505571428571	5.76102857142857	5.77368285714286	5.84298428571429
"ADAM11"	3.53423	3.343575	3.53128	3.98815	4.18063	3.460615	3.6162	3.810435	3.84687
"ADAM12"	6.8065075	6.8585	6.785155	6.83118	6.9317525	7.07469	6.71687	6.7345175	6.8491575
