ID	Gene Symbol	GENE_ID
1552685_PM_a_at	GRHL1	29841
1552686_PM_at	C20orf152	140894
1552687_PM_a_at	C20orf152	140894
1552689_PM_at	CASKIN1	57524
1552690_PM_a_at	CACNA2D4	93589
1552691_PM_at	ARL11	115761
1552693_PM_at	ARL11	115761
1552694_PM_at	SLC2A13	114134
1552695_PM_a_at	SLC2A13	114134
1552696_PM_at	NIPA1	123606
1552698_PM_at	MGC16703	113691
1552701_PM_a_at	CARD16	114769
1552703_PM_s_at	CARD16 /// CASP1	114769 /// 834
1552705_PM_at	DUSP19	142679
1552708_PM_a_at	DUSP19	142679
1552711_PM_a_at	CYB5D1	124637
1552712_PM_a_at	NMNAT2	23057
1552713_PM_a_at	SLC4A1	6521
1552714_PM_at	CREG2	200407
1552715_PM_a_at	RXFP1	59350
1552716_PM_at	SPEF2	79925
1552717_PM_s_at	CEP170 /// CEP170L	645455 /// 9859
1552718_PM_at	DTD1	92675
1552719_PM_at	CASC4	113201
1552721_PM_a_at	FGF1	2246
1552722_PM_at	ARPP21	10777
1552724_PM_at	RHOXF1	158800
1552725_PM_s_at	ADAMTS17	170691
1552726_PM_at	ADAMTS17	170691
1552727_PM_s_at	ADAMTS17	170691
1552729_PM_at	SNHG7	84973
1552730_PM_at	DHH	50846
1552731_PM_at	ABRA	137735
1552732_PM_at	ABRA	137735
1552733_PM_at	KLHDC1	122773
1552734_PM_at	RICTOR	253260
1552735_PM_at	PCDHGA4	56111
1552736_PM_a_at	NETO1	81832
1552737_PM_s_at	WWP2	11060
1552738_PM_a_at	ST7L	54879
1552739_PM_s_at	ST7L	54879
1552740_PM_at	C2orf15	150590
1552742_PM_at	KCNH8	131096
1552743_PM_at	MCF2L	23263
1552745_PM_at	SLCO6A1	133482
1552747_PM_a_at	C3orf48	151649
1552749_PM_a_at	KLC3	147700
1552750_PM_at	CIB3	117286
1552751_PM_a_at	CIB3	117286
1552752_PM_a_at	CADM2	253559
1552754_PM_a_at	CADM2	253559
1552755_PM_at	C9orf66	157983
1552757_PM_s_at	C9orf66	157983
1552758_PM_at	HDAC9	9734
1552760_PM_at	HDAC9	9734
1552761_PM_at	SLC16A11	162515
1552763_PM_at	TMEM67	91147
1552765_PM_x_at	TMEM67	91147
1552766_PM_at	HS6ST2	90161
1552767_PM_a_at	HS6ST2	90161
1552768_PM_at	CAMKK1	84254
1552769_PM_at	ZNF625	90589
1552770_PM_s_at	ZNF563	147837
1552771_PM_a_at	LIN9	286826
1552772_PM_at	CLEC4D	338339
1552773_PM_at	CLEC4D	338339
1552774_PM_a_at	SLC25A27	9481
1552775_PM_at	GPRC6A	222545
1552777_PM_a_at	RAET1E	135250
1552779_PM_a_at	SLC44A5	204962
1552782_PM_at	SLC44A5	204962
1552783_PM_at	ZNF417	147687
1552785_PM_at	ZNF781	163115
1552787_PM_at	HELB	92797
1552788_PM_a_at	HELB	92797
1552789_PM_at	SEC62	7095
1552790_PM_a_at	SEC62	7095
1552791_PM_a_at	TRDN	10345
1552792_PM_at	SOCS4	122809
1552793_PM_at	C8orf31	286122
1552794_PM_a_at	ZNF547	284306
1552796_PM_a_at	SIM1	6492
1552797_PM_s_at	PROM2	150696
1552798_PM_a_at	TLR4	7099
1552799_PM_at	TSNARE1	203062
1552800_PM_at	ABHD11	83451
1552801_PM_at	CAPN13	92291
1552803_PM_a_at	STMN1	3925
1552804_PM_a_at	TIRAP	114609
1552806_PM_a_at	SIGLEC10 /// SIGLEC12	89790 /// 89858
1552807_PM_a_at	SIGLEC10 /// SIGLEC12	89790 /// 89858
1552808_PM_at	ADAMTSL1	92949
1552809_PM_at	RFX4	5992
1552811_PM_at	WFIKKN1	117166
1552812_PM_a_at	SENP1	29843
1552813_PM_at	KLF14	136259
1552814_PM_a_at	KLF14	136259
1552816_PM_at	NXNL2	158046
1552818_PM_a_at	BRS3	680
1552819_PM_at	NCRNA00205	257103
1552822_PM_at	TMX3	54495
1552825_PM_at	ZNF396	252884
1552826_PM_at	SLC26A7	115111
1552827_PM_s_at	SLC26A7	115111
1552828_PM_at	SNX18	112574
1552829_PM_at		
